Nom de la possession,Coordonnees X,Coordonnees Y
Baron,-0.312271628477737,44.8217457385819
Bellefond,-0.170846220510886,44.7654490840445
Blanquefort-sur-Briolance,-0.0686647475084038,44.8110654026421
Calezun,0.324960010751388,44.2293695125928
Daignac,-0.249431641957152,44.7974724644671
le Pizou,0.0615683191339201,45.0239756135621
Saint-Etienne-de-Ruch,-0.0397143573386261,44.7749411083288
Saint-Leger-au-Bois,2.95528498406584,49.4805595964329
Saint-Pey-de-Castets,-0.0682126057767748,44.8114648114705
Siorac,0.987060657649284,44.820573062375
,,   
